DATE,TIME,BOROUGH,ZIP CODE,LATITUDE,LONGITUDE,LOCATION,ON STREET NAME,CROSS STREET NAME,OFF STREET NAME,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED,CONTRIBUTING FACTOR VEHICLE 1,CONTRIBUTING FACTOR VEHICLE 2,CONTRIBUTING FACTOR VEHICLE 3,CONTRIBUTING FACTOR VEHICLE 4,CONTRIBUTING FACTOR VEHICLE 5,UNIQUE KEY,VEHICLE TYPE CODE 1,VEHICLE TYPE CODE 2,VEHICLE TYPE CODE 3,VEHICLE TYPE CODE 4,VEHICLE TYPE CODE 5
04/02/2018,15:26,BRONX,10451,40.81722,-73.91924,"(40.81722, -73.91924)",EAST 150 STREET                 ,COURTLANDT AVENUE,,0,0,0,0,0,0,0,0,Unspecified,,,,,3874664,PICK-UP TRUCK,SPORT UTILITY / STATION WAGON,,,
04/02/2018,15:30,BROOKLYN,11220,40.647064,-74.02263,"(40.647064, -74.02263)",56 STREET                       ,1 AVENUE,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3874701,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,
04/02/2018,15:30,BROOKLYN,11234,40.632095,-73.91861,"(40.632095, -73.91861)",RALPH AVENUE                    ,FLATLANDS AVENUE,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3874024,SPORT UTILITY / STATION WAGON,PICK-UP TRUCK,,,
04/02/2018,15:30,,,40.596622,-74.18271,"(40.596622, -74.18271)",,,3812      VICTORY BOULEVARD             ,0,0,0,0,0,0,0,0,Backing Unsafely,Unspecified,,,,3873959,SPORT UTILITY / STATION WAGON,,,,
04/02/2018,15:30,,,40.672382,-73.78574,"(40.672382, -73.78574)",ROCKAWAY BOULEVARD              ,,,2,0,0,0,0,0,2,0,Failure to Yield Right-of-Way,Unspecified,,,,3874023,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,,
04/02/2018,15:35,,,40.677017,-73.92182,"(40.677017, -73.92182)",ATLANTIC AVENUE                 ,,,0,0,0,0,0,0,0,0,Alcohol Involvement,Turning Improperly,,,,3875569,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
04/02/2018,15:37,MANHATTAN,10029,40.794132,-73.94281,"(40.794132, -73.94281)",3 AVENUE                        ,EAST 110 STREET,,0,0,0,0,0,0,0,0,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,Unspecified,,,,3875660,BICYCLE,PASSENGER VEHICLE,,,
04/02/2018,15:37,BROOKLYN,11221,40.688976,-73.9132,"(40.688976, -73.9132)",WEIRFIELD STREET                ,EVERGREEN AVENUE,,2,0,0,0,0,0,2,0,Driver Inattention/Distraction,Driver Inattention/Distraction,,,,3874096,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,
04/02/2018,15:40,BRONX,10472,40.829304,-73.87061,"(40.829304, -73.87061)",CROES AVENUE                    ,GLEASON AVENUE,,0,0,0,0,0,0,0,0,Passing or Lane Usage Improper,Unspecified,,,,3876802,SPORT UTILITY / STATION WAGON,,,,
04/02/2018,15:40,QUEENS,11377,40.7493,-73.89758,"(40.7493, -73.89758)",BROADWAY                        ,65 STREET,,1,0,1,0,0,0,0,0,Failure to Yield Right-of-Way,,,,,3875201,SPORT UTILITY / STATION WAGON,,,,
